city,neighbourhood,street,Area,Number of rooms,Floor,No. of floors,Building type,Heating system,Equipment,Building Energy Efficiency Class,Additional premises,Additional Equipment,Security,Nearest kindergarten,Nearest educational institution,Nearest shop,Public transport stop,crime,Price,Percent_Decrease,build_year,renovation_year,is_renovated,is_price_decreased,STREET,AVG_BIRTH_YEAR,TOTAL_CHILDREN,TOTAL_PEOPLE,TOTAL_DIVORCED,TOTAL_WIDOWED,TOTAL_MARRIED,TOTAL_SINGLE
Vilnius,Naujamiestis,Pakalnės g.,86.88,3,3,3,Brick,Central,Fully equipped,,,,,320.0,180.0,250.0,120.0,7,294000,"1,7%",1992,1992.0,0,1,Pakalnės g.,1982.8832116788321,62.0,137.0,14.0,6.0,55.0,62.0
Vilnius,Žvėrynas,Paribio g.,26.16,1,5,6,Brick,Central,Fully equipped,,Cellar,Conditioner Washing machine Furniture Refrigerator Kitchen furniture Plastic pipes Dish washer Shower Recuperation,Steel doors,190.0,410.0,270.0,230.0,3,111200,,1969,1969.0,0,0,Paribio g.,1981.5409523809524,398.0,1050.0,93.0,69.0,418.0,470.0
Vilnius,Lazdynėliai,Žaibo g.,64.0,3,3,4,Brick,Central thermostat,Fully equipped,A,Storeroom Balcony Parking space,Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Bath Recuperation,Steel doors Code door lock Video surveillance,160.0,1800.0,390.0,360.0,0,305000,,2022,2022.0,0,0,,,,,,,,
Vilnius,Antakalnis,Karių Kapų g.,81.62,2,3,3,Brick,Gas,Fully equipped,,Storeroom Parking space,Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower Bath,Steel doors Code door lock,180.0,310.0,530.0,520.0,2,312000,,1999,1999.0,0,0,Karių Kapų g.,1981.8362573099416,65.0,171.0,20.0,13.0,60.0,78.0
Vilnius,Senamiestis,Trakų g.,27.0,2,1,2,Brick,Electric,Fully equipped,,,Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Bath Recuperation,Steel doors Alarm system,90.0,200.0,150.0,100.0,27,150000,2%,1940,1940.0,0,1,Trakų g.,1982.9709543568465,81.0,241.0,41.0,10.0,83.0,107.0
Vilnius,Lazdynėliai,Žaibo g.,46.0,2,1,4,Brick,Central thermostat,Fully equipped,,,,,160.0,1800.0,390.0,360.0,0,163000,,2022,2022.0,0,0,,,,,,,,
Vilnius,Šnipiškės,Daugėliškio g.,25.81,1,2,7,Brick,Central thermostat,Partially equipped,A++,Storeroom Balcony Parking space,Conditioner Floor heating system Recuperation,Steel doors Code door lock Video surveillance,340.0,540.0,420.0,120.0,13,110983,,2025,2025.0,0,0,Daugėliškio g.,1989.1091234347048,249.0,559.0,55.0,17.0,208.0,279.0
Vilnius,Šnipiškės,Daugėliškio g.,96.62,4,4,7,Brick,Central thermostat,Partially equipped,A++,Storeroom Balcony Parking space Closet,Conditioner Floor heating system Recuperation,Steel doors Code door lock Video surveillance,340.0,540.0,420.0,120.0,13,434790,,2025,2025.0,0,0,Daugėliškio g.,1989.1091234347048,249.0,559.0,55.0,17.0,208.0,279.0
Vilnius,Šnipiškės,Kintų g.,66.6,3,2,3,Brick,Aerothermal,Partially equipped,A++,Storeroom Balcony Parking space,Conditioner Floor heating system Plastic pipes Recuperation,Steel doors Code door lock Video surveillance,130.0,300.0,350.0,160.0,16,348244,,2024,2024.0,0,0,,,,,,,,
Vilnius,Šnipiškės,Kintų g.,32.87,1,2,3,Brick,Aerothermal,Partially equipped,A++,Storeroom Balcony,Conditioner Floor heating system Plastic pipes Recuperation,Steel doors Code door lock Video surveillance,130.0,300.0,350.0,160.0,16,175006,,2024,2024.0,0,0,,,,,,,,
