city;neighbourhood;street;price;House No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Flat No.;Building Energy Efficiency Class
Vilnius;Žvėrynas;Sėlių g.;320 000 € (3 168 €/m²);;101 m²;3;3;4;2000;Brick;Electric;Fully equipped;;;;;290 m;370 m;450 m;180 m;1;;
Vilnius;Antakalnis;Duburio g.;119 000 € (2 744 €/m²);;43,37 m²;2;3;4;2023;Brick;Gas;Fully equipped;Kitchen merged with room;Balcony;;Steel doors Code door lock;1,6 km;1,7 km;1,4 km;410 m;0;;A+
Vilnius;Antakalnis;Duburio g.;139 000 € (2 815 €/m²);;49,37 m²;2;3;4;2023;Brick;Gas;Fully equipped;Kitchen merged with room;Balcony;;Steel doors Code door lock;1,6 km;1,7 km;1,4 km;410 m;0;;
Vilnius;Šnipiškės;Daugėliškio g.;250 000 € (3 812 €/m²);33;65,59 m²;3;6;7;2024;Brick;Central thermostat;Fully equipped;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony;Plastic pipes Shower Recuperation;Steel doors Code door lock Video surveillance;350 m;500 m;450 m;80 m;14;22;A
Vilnius;Lazdynėliai;Jonažolių g.;"Price decreased 0,5%
185 500 € (2 435 €/m²)";;76,17 m²;3;5;7;2004;Brick;Central thermostat;Fully equipped;;;Floor heating system Dish washer;;370 m;770 m;120 m;120 m;"44,94 €/month
~ 0,59 €/m²";;
Vilnius;Pilaitė;I. Kanto al.;97 000 € (2 717 €/m²);26;35,7 m²;1;4;5;1994;Block house;Central;Fully equipped;Separate bathroom and WC New sewage system New electrical installation Internet Cable television;Balcony Cellar;Furniture;Steel doors Code door lock;170 m;300 m;210 m;110 m;6;;
Vilnius;Antakalnis;Antakalnio g.;145 000 € (2 046 €/m²);;70,88 m²;4;5;5;1967;Brick;Central;Not equipped;;;;;260 m;370 m;170 m;90 m;3;;
Vilnius;Žirmūnai;Minties g.;271 950 € (3 843 €/m²);;70,77 m²;3;5;6;2004;Brick;Central thermostat;Fully equipped;;;;;100 m;220 m;540 m;160 m;"65,11 €/month
~ 0,92 €/m²";;
Vilnius;Antakalnis;Smėlio g.;160 000 € (3 137 €/m²);;51 m²;3;3;5;1960;Brick;Central thermostat;Fully equipped;;Balcony Cellar Closet;Furniture Washing machine Bath;Steel doors Code door lock;260 m;140 m;140 m;90 m;"30,09 €/month
~ 0,59 €/m²";;C
Vilnius;Žirmūnai;Žirmūnų g.;79 500 € (1 893 €/m²);;42 m²;2;10;12;1980;Brick;Central;Fully equipped;Separate bathroom and WC Kitchen merged with room;;Furniture Washing machine;Steel doors Code door lock;190 m;450 m;40 m;100 m;"51,66 €/month
~ 1,23 €/m²";;
Vilnius;Rasos;Tyzenhauzų g.;75 000 € (3 409 €/m²);;22 m²;1;1;12;1976;Brick;Central;Fully equipped;Kitchen merged with room;;Furniture Washing machine;Steel doors Code door lock;470 m;380 m;220 m;100 m;"23,98 €/month
~ 1,09 €/m²";;
Vilnius;Senamiestis;Šiaulių g.;310 000 € (2 627 €/m²);;118 m²;4;2;3;1940;Brick;Central;Fully equipped;;Parking space;;Code door lock;110 m;370 m;180 m;170 m;30;;
Vilnius;Grigiškės;Jaunimo skg.;"Price decreased 1,1%
87 000 € (1 573 €/m²)";9;55,31 m²;3;5;5;1967;Brick;Central;Fully equipped;Separate bathroom and WC Internet Cable television;Balcony Cellar Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Bath;Steel doors Code door lock;320 m;420 m;250 m;200 m;3;;
Vilnius;Naujininkai;Dariaus ir Girėno g.;45 000 € (2 500 €/m²);13;18 m²;1;2;5;1970;Brick;Central;Fully equipped;;;;;150 m;250 m;170 m;140 m;5;;
Vilnius;Liepkalnis;Perlojos g.;119 000 € (4 407 €/m²);;27 m²;2;1;2;2024;Brick;Gas;Fully equipped;Private entrance High ceiling Flat in an attic Two-floor flat New sewage system New electrical installation Private yard Kitchen merged with room;Terrace Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Recuperation;Steel doors Alarm system;510 m;530 m;620 m;120 m;4;;
