city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Unique item number (RC number);Object
Vilnius;Viršuliškės;Viršuliškių g.;"Price decreased 1,1%
133 500 € (2 829 €/m²)";55;;47,19 m²;3;6;12;1977;Block house;Central;Fully equipped;;Has elevator New sewage system New electrical installation Internet Cable television Kitchen merged with room;Balcony Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer;Steel doors Code door lock;200 m;370 m;240 m;260 m;"58,04 €/month
~ 1,23 €/m²";;
Vilnius;Senamiestis;Mindaugo g.;268 500 € (3 678 €/m²);;;73 m²;3;3;5;2008;Brick;Central thermostat;Fully equipped;;;;;;220 m;100 m;200 m;300 m;33;;
Vilnius;Viršuliškės;Juozo Rutkausko g.;256 000 € (4 505 €/m²);19;;56,83 m²;3;10;16;2022;Block house;Central thermostat;Fully equipped;A;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Storeroom Balcony Parking space;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Recuperation;Steel doors Alarm system Code door lock Video surveillance;220 m;580 m;370 m;140 m;16;;
Vilnius;Pašilaičiai;Perkūnkiemio g.;104 900 € (2 482 €/m²);;;42,26 m²;1;3;9;2007;Brick;Central thermostat;Fully equipped;;;;;;90 m;830 m;390 m;120 m;"21,55 €/month
~ 0,51 €/m²";;
Vilnius;Karoliniškės;Apolinaro Juozo Povilaičio g.;136 000 € (2 894 €/m²);3;;47 m²;3;3;5;1974;Block house;Central;Fully equipped;;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Storeroom Balcony;Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower;Steel doors Code door lock;210 m;120 m;640 m;340 m;15;;
Vilnius;Žirmūnai;Kalvarijų g.;315 000 € (3 073 €/m²);;;102,51 m²;3;1;2;2013;Monolithic;Gas;Fully equipped;;Two-floor flat Kitchen merged with room;;Furniture;;50 m;400 m;270 m;70 m;10;;
Vilnius;Pašilaičiai;Medeinos g.;"120 900 € (3 061 €/m²)
(interested in changing)";;;39,5 m²;2;3;9;1987;Block house;Central;Fully equipped;;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Storeroom Balcony Cellar Closet;Furniture Refrigerator Kitchen furniture Stove Plastic pipes Bath;Steel doors Code door lock;260 m;180 m;200 m;170 m;7;;
Vilnius;Šeškinė;Ukmergės g.;85 000 € (2 163 €/m²);212;;39,29 m²;1;5;5;1979;Block house;Central;Fully equipped;;Separate bathroom and WC Internet Cable television;Storeroom Balcony Cellar;Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;110 m;370 m;220 m;140 m;"53,04 €/month
~ 1,35 €/m²";;
Vilnius;Santariškės;Santariškių g.;119 900 € (2 987 €/m²);;;40,14 m²;1;3;3;2007;Brick;Central thermostat;Fully equipped;;;Balcony;Furniture;Steel doors Code door lock;190 m;2 km;290 m;310 m;"33,72 €/month
~ 0,84 €/m²";;
Vilnius;Karoliniškės;Algimanto Petro Kavoliuko g.;135 000 € (2 196 €/m²);;;61,47 m²;2;4;9;2008;Brick;Central thermostat;Fully equipped;;;;;;20 m;520 m;150 m;80 m;13;;
Vilnius;Lazdynai;Bukčių g.;139 800 € (2 035 €/m²);11;;68,7 m²;2;1;5;1996;Brick;Central;Fully equipped;;;;;;470 m;950 m;230 m;50 m;0;;
Vilnius;Pilaitė;Sidaronių g.;257 000 € (4 840 €/m²);;;53,1 m²;3;2;2;2023;Brick;Other;Fully equipped;;;;;;620 m;760 m;770 m;40 m;0;;
Vilnius;Pilaitė;Sidaronių g.;168 000 € (3 294 €/m²);;;51 m²;2;3;3;2023;Brick;Central thermostat;Fully equipped;;Has elevator;;;;710 m;720 m;620 m;60 m;0;;
